"","Idade","Total","Branca","Preta","Amarela","Parda","Indígena"
"Brasil","Total","190755799","91051646","14517961","2084288","82277333","817963"
"Brasil","1","2694909","1338012","123270","23727","1189693","20164"
"Brasil","2","2726957","1298397","134081","24295","1249969","20154"
"Brasil","3","2790782","1298635","143096","25228","1303484","20297"
"Brasil","4","2870266","1321111","152378","26233","1349738","20769"
"Brasil","5","2931988","1326685","163310","26998","1394579","20362"
"Brasil","6","2894419","1288398","167771","26888","1391339","19979"
"Brasil","7","2959192","1287261","176703","27644","1447432","20098"
"Brasil","8","2995612","1291575","181677","28023","1474748","19547"
"Brasil","9","3188164","1368639","197748","29990","1571885","19855"
"Brasil","10","3505216","1480125","226047","32339","1745826","20804"
"Brasil","11","3352844","1411595","219841","30629","1671903","18808"
"Brasil","12","3402242","1422433","228310","31889","1700841","18704"
"Brasil","13","3412748","1425387","234005","32575","1702360","18368"
"Brasil","14","3493711","1457198","247269","34021","1737022","18142"
"Brasil","15","3574929","1503043","259574","36213","1758036","17996"
"Brasil","16","3410704","1442793","252914","34474","1663572","16900"
"Brasil","17","3372241","1444924","251757","34867","1624170","16471"
"Brasil","18","3367172","1461408","253670","35726","1600115","16197"
"Brasil","19","3265826","1459566","246268","35728","1509233","14936"
"Brasil","20","3389729","1521512","261182","37850","1553103","15871"
"Brasil","21","3421736","1541735","268794","39326","1557375","14308"
"Brasil","22","3510497","1574578","281574","40342","1599016","14760"
"Brasil","23","3420254","1544542","279713","40717","1540946","14132"
"Brasil","24","3502976","1592121","290414","41825","1564047","14316"
"Brasil","25","3455045","1573925","289521","41240","1536075","14008"
"Brasil","26","3298218","1521265","278206","39733","1445999","12775"
"Brasil","27","3467072","1613529","292213","40826","1507102","13145"
"Brasil","28","3515646","1646695","296387","41677","1517643","13012"
"Brasil","29","3368433","1580701","287493","39257","1448583","12164"
"Brasil","30","3548802","1647984","307076","41407","1538720","13326"
"Brasil","31","3128244","1468517","269474","37155","1341807","11105"
"Brasil","32","3165646","1470659","274926","36679","1372066","11150"
"Brasil","33","2982696","1391513","259197","34300","1287243","10274"
"Brasil","34","2919124","1365927","249625","32609","1260339","10471"
"Brasil","35","2990924","1402068","254389","33304","1290330","10675"
"Brasil","36","2763213","1303119","233359","30488","1186393","9731"
