"Tabela 9606 - População residente, por cor ou raça, segundo o sexo e a idade"
"Variável - População residente (Pessoas)"
"","Idade","Ano x Cor ou raça x Sexo"
"","Idade","2022"
"","Idade","Total","Branca","Preta","Amarela","Parda","Indígena"
"","Idade","Total","Total","Total","Total","Total","Total"
"Brasil","Total","203080756","88252121","20656458","850130","92083286","1227642"
"Brasil","1 ano","2353945","1093024","143231","4829","1084986","27751"
"Brasil","2 anos","2563419","1156433","164812","5512","1208528","28027"
"Brasil","3 anos","2699784","1192333","179732","6002","1293140","28471"
"Brasil","4 anos","2729447","1190253","187895","6283","1317075","27815"
"Brasil","5 a 9 anos","13749440","5734804","1020633","33191","6824824","135440"
"Brasil","5 anos","2640786","1134636","187811","6160","1284956","27096"
"Brasil","6 anos","2771512","1170494","201312","6606","1365720","27261"
"Brasil","7 anos","2831711","1177504","209212","6808","1410445","27645"
"Brasil","8 anos","2740900","1127376","208071","6605","1371930","26815"
"Brasil","9 anos","2764531","1124794","214227","7012","1391773","26623"
"Brasil","10 a 14 anos","13674961","5408954","1109531","35865","6991891","128189"
"Brasil","10 anos","2701639","1088589","211398","6733","1368311","26509"
"Brasil","11 anos","2717865","1084761","213301","6984","1386998","25718"
"Brasil","12 anos","2773621","1099645","221939","7282","1419093","25545"
"Brasil","13 anos","2745700","1069600","228293","7224","1414963","25512"
"Brasil","14 anos","2736136","1066359","234600","7642","1402526","24905"
"Brasil","15 a 19 anos","14375942","5610575","1403059","42066","7196383","123236"
"Brasil","15 anos","2819510","1100046","250685","7785","1435563","25332"
"Brasil","16 anos","2874948","1125518","266229","8140","1449429","25527"
"Brasil","17 anos","2910839","1136956","283979","8454","1456612","24722"
"Brasil","18 anos","2930177","1145853","301430","8892","1449442","24430"
"Brasil","19 anos","2840468","1102202","300736","8795","1405337","23225"
"Brasil","20 a 24 anos","15466463","6076604","1725800","49540","7500613","112621"
"Brasil","20 anos","2933408","1140955","316962","9139","1442328","23818"
"Brasil","21 anos","3012254","1187543","330298","9702","1461793","22631"
"Brasil","22 anos","3317163","1302049","371048","10284","1609789","23731"
"Brasil","23 anos","3119708","1226274","354982","10155","1506346","21678"
"Brasil","24 anos","3083930","1219783","352510","10260","1480357","20763"
"Brasil","25 a 29 anos","15469723","6182951","1782294","51685","7355701","95762"
"Brasil","25 anos","3178228","1262146","361841","10616","1522423","20927"
"Brasil","26 anos","3137357","1247318","360995","10499","1498258","20016"
"Brasil","27 anos","3151438","1260961","364724","10695","1495797","18989"
"Brasil","28 anos","3072702","1230799","357695","10181","1455275","18489"
"Brasil","29 anos","2929998","1181727","337039","9694","1383948","17341"
"Brasil","30 a 34 anos","15473117","6375027","1747944","56875","7208525","83594"
"Brasil","30 anos","3216442","1306946","365186","10506","1514820","18721"
"Brasil","31 anos","2878394","1196768","322420","10683","1332269","16039"
"Brasil","32 anos","3132756","1295714","350111","11710","1458004","16971"
"Brasil","33 anos","3135061","1293635","355373","11915","1458102","15831"
"Brasil","34 anos","3110464","1281964","354854","12061","1445330","16032"
"Brasil","35 a 39 anos","16172791","6725099","1850687","65073","7452696","78225"
"Brasil","35 anos","3293985","1360303","373883","12672","1530538","16362"
"Brasil","36 anos","3268142","1352199","374232","12940","1512719","15867"
"Brasil","37 anos","3138994","1299748","359986","12670","1450833","15550"
"Brasil","38 anos","3202086","1334216","367997","13343","1470784","15525"
"Brasil","39 anos","3269584","1378633","374589","13448","1487822","14921"
"Brasil","40 a 44 anos","16072170","6827463","1851159","69575","7253228","69796"
"Brasil","40 anos","3652173","1543832","419879","15038","1657129","16057"
"Brasil","41 anos","3130250","1340272","357637","13579","1405028","13582"
"Brasil","42 anos","3372479","1425937","390732","14456","1526433","14710"
"Brasil","43 anos","3043961","1292912","351842","13547","1372374","13106"
"Brasil","44 anos","2873307","1224510","331069","12955","1292264","12341"
"Brasil","45 a 49 anos","13640112","5858047","1558947","59760","6104798","57853"
"Brasil","45 anos","2964385","1260177","343110","12994","1335372","12548"
"Brasil","46 anos","2758999","1176061","316209","11831","1242812","11936"
"Brasil","47 anos","2706033","1165219","307563","11994","1209627","11492"
"Brasil","48 anos","2635109","1134811","300241","11532","1177252","11146"
"Brasil","49 anos","2575586","1121779","291824","11409","1139735","10731"
"Brasil","50 a 54 anos","12598581","5628210","1403801","56819","5460379","48764"
"Brasil","50 anos","2763559","1216589","314557","12163","1209134","10932"
"Brasil","51 anos","2445642","1098277","271512","11217","1055086","9453"
"Brasil","52 anos","2582701","1145518","289554","11376","1125950","10178"
"Brasil","53 anos","2436674","1094451","269521","11163","1052229","9193"
"Brasil","54 anos","2370005","1073375","258657","10900","1017980","9008"
"Brasil","55 a 59 anos","11569106","5442507","1225630","55775","4802770","41912"
"Brasil","55 anos","2392559","1097640","258170","11112","1016603","8917"
"Brasil","56 anos","2367080","1104876","253023","10959","989498","8626"
"Brasil","57 anos","2299171","1096120","240158","11369","943188","8241"
"Brasil","58 anos","2329142","1098578","246512","11469","964141","8324"
"Brasil","59 anos","2181154","1045293","227767","10866","889340","7804"
"Brasil","60 a 64 anos","9944389","4851865","1038306","53220","3965766","34801"
"Brasil","60 anos","2239491","1075252","237836","11473","906594","8223"
"Brasil","61 anos","1961686","967791","199483","10328","777287","6703"
"Brasil","62 anos","2050673","992923","215965","10712","823582","7383"
"Brasil","63 anos","1869504","922517","195013","10299","735403","6212"
"Brasil","64 anos","1823035","893382","190009","10408","722900","6280"
"Brasil","65 a 69 anos","7876232","3979726","795018","52667","3021587","26946"
"Brasil","65 anos","1824761","905155","188404","10873","714188","6081"
"Brasil","66 anos","1640951","822127","166083","10428","636757","5502"
"Brasil","67 anos","1559964","790063","157577","10493","596307","5452"
"Brasil","68 anos","1504419","762933","151231","10521","574394","5283"
"Brasil","69 anos","1346137","699448","131723","10352","499941","4628"
"Brasil","70 a 74 anos","5858536","3072479","571071","50568","2144482","19686"
"Brasil","70 anos","1404853","718269","142329","10916","528366","4910"
"Brasil","71 anos","1185459","626310","114145","10126","430931","3899"
"Brasil","72 anos","1215723","632174","119624","10334","449287","4251"
"Brasil","73 anos","1047908","560343","99444","9679","375005","3394"
"Brasil","74 anos","1004593","535383","95529","9513","360893","3232"
"Brasil","75 a 79 anos","3847379","2091008","357500","39386","1345830","13528"
"Brasil","75 anos","931995","502341","87711","9205","329576","3130"
"Brasil","76 anos","826969","448170","77409","8333","290204","2825"
"Brasil","77 anos","747238","408300","68641","7776","259762","2737"
"Brasil","78 anos","717835","387365","67500","7303","253034","2609"
"Brasil","79 anos","623342","344832","56239","6769","213254","2227"
"Brasil","80 a 84 anos","2475030","1380516","225159","27271","832790","9171"
"Brasil","80 anos","612385","335236","57260","6870","210719","2264"
"Brasil","81 anos","495583","280476","44354","5546","163352","1834"
"Brasil","82 anos","535147","291672","49860","5526","185906","2155"
"Brasil","83 anos","439091","248495","39052","4907","145153","1464"
"Brasil","84 anos","392824","224637","34633","4422","127660","1454"
"Brasil","85 a 89 anos","1329203","771547","116147","14890","421745","4823"
"Brasil","85 anos","339825","196756","29742","3933","108204","1185"
"Brasil","86 anos","325551","185388","28868","3664","106399","1209"
"Brasil","87 anos","266069","154674","23122","2905","84384","972"
"Brasil","88 anos","213729","126013","18166","2322","66457","767"
"Brasil","89 anos","184029","108716","16249","2066","56301","690"
"Brasil","90 a 94 anos","579729","341266","50582","6520","179016","2319"
"Brasil","90 anos","172210","99319","15584","1918","54709","673"
"Brasil","91 anos","130874","78397","10859","1551","39538","521"
