ano,escolaridade,obitos,exposicao,Mx
2012,FUNDAMENTAL COMPLETO,149587,37469499,0.003992233789942054
2012,FUNDAMENTAL INCOMPLETO,335099,44382210,0.007550299996327357
2012,MEDIO COMPLETO,102688,19998399,0.005134811041623882
2012,NÃO INFORMADO,132863,137419,0.9668459237805543
2012,SEM ESCOLARIDADE,177441,26360395,0.006731348297322555
2012,SUPERIOR COMPLETO,35159,5998480,0.005861318200610821
2012,SUPERIOR INCOMPLETO,8409,4197946,0.0020031224794220793
2014,FUNDAMENTAL COMPLETO,165945,37750284,0.0043958609688870155
2014,FUNDAMENTAL INCOMPLETO,367252,43125524,0.008515884931624251
2014,MEDIO COMPLETO,118474,23737232,0.004991062142376162
2014,NÃO INFORMADO,147441,115471,1.2768660529483593
2014,SEM ESCOLARIDADE,194016,24634473,0.007875792593574054
2014,SUPERIOR COMPLETO,41864,7928182,0.0052804035023413945
2014,SUPERIOR INCOMPLETO,9087,5176696,0.0017553667435754388
2016,FUNDAMENTAL COMPLETO,186119,37498033,0.004963433681974732
2016,FUNDAMENTAL INCOMPLETO,403797,41176303,0.009806538484040202
2016,MEDIO COMPLETO,138924,27390468,0.005071983435989484
2016,NÃO INFORMADO,155521,90599,1.7165862757867085
2016,SEM ESCOLARIDADE,209450,22461917,0.009324671620859431
2016,SUPERIOR COMPLETO,49587,9522691,0.005207246565072835
2016,SUPERIOR INCOMPLETO,10577,5948901,0.0017779754613499199
2018,FUNDAMENTAL COMPLETO,187430,34812421,0.005383997855248275
2018,FUNDAMENTAL INCOMPLETO,418031,38036112,0.010990371465937423
2018,MEDIO COMPLETO,152240,33535444,0.004539674500805774
2018,NÃO INFORMADO,146971,56358,2.6078107810781077
2018,SEM ESCOLARIDADE,211866,19713630,0.010747183547626693
2018,SUPERIOR COMPLETO,55646,13405041,0.004151124938745059
2018,SUPERIOR INCOMPLETO,11267,7246542,0.001554810556538553
2020,FUNDAMENTAL COMPLETO,227858,32759691,0.006955438010694301
2020,FUNDAMENTAL INCOMPLETO,477803,35771791,0.013356977289730895
2020,MEDIO COMPLETO,213934,37681635,0.005677407575334775
2020,NÃO INFORMADO,176328,35139,5.018014172287202
2020,SEM ESCOLARIDADE,239867,18146462,0.013218389347741725
2020,SUPERIOR COMPLETO,78690,15800520,0.004980215840997638
2020,SUPERIOR INCOMPLETO,15175,7723245,0.0019648476773687744
