ano,estado_civil,obitos,exposicao,Mx
2008,CASADO,382256,41044174,0.009313282805983621
2008,NÃO INFORMADO,29503,267555,0.1102689166713386
2008,SEPARADO/DIVORCIADO,47882,2641214,0.018128784717936525
2008,SOLTEIRO,274587,82889093,0.0033127036388249536
2008,VIÚVO,239414,1964556,0.12186672204813709
2010,CASADO,399607,42117434,0.009487923694496678
2010,NÃO INFORMADO,35935,248649,0.14452099143772948
2010,SEPARADO/DIVORCIADO,55120,3031555,0.01818208807031375
2010,SOLTEIRO,292598,88146980,0.0033194330650919636
2010,VIÚVO,259951,2059423,0.1262251611252278
2012,CASADO,416092,42409709,0.00981124393001612
2012,NÃO INFORMADO,44524,224018,0.19875188600915997
2012,SEPARADO/DIVORCIADO,59164,3467949,0.01706022781765245
2012,SOLTEIRO,286193,90261547,0.003170707898458687
2012,VIÚVO,265271,2181125,0.12162118172961202
2014,CASADO,427858,44235825,0.009672205729179912
2014,NÃO INFORMADO,47326,191415,0.24724290154899042
2014,SEPARADO/DIVORCIADO,65365,4261422,0.015338776586782534
2014,SOLTEIRO,298876,91289054,0.0032739522089910143
2014,VIÚVO,280464,2490146,0.112629540597218
2016,CASADO,457025,45345106,0.010078816443829682
2016,NÃO INFORMADO,50434,153122,0.32937135094891656
2016,SEPARADO/DIVORCIADO,76455,4968294,0.015388582076664546
2016,SOLTEIRO,322755,90742596,0.003556819115027302
2016,VIÚVO,303984,2879794,0.10555755029700041
2018,CASADO,459440,49062817,0.009364321661350998
2018,NÃO INFORMADO,49215,95310,0.5163676424299654
2018,SEPARADO/DIVORCIADO,83206,6351570,0.013100068172121223
2018,SOLTEIRO,323584,87544171,0.003696236954485525
2018,VIÚVO,311469,3751680,0.08302120649948823
2020,CASADO,560594,51575693,0.010869344983886111
2020,NÃO INFORMADO,70595,58907,1.1984144498955982
2020,SEPARADO/DIVORCIADO,104503,7343399,0.014230875919992909
2020,SOLTEIRO,373529,84630900,0.0044136243381554495
2020,VIÚVO,357868,4309584,0.08304003356240416
