ano,sexo,obitos,exposicao,Mx
2004,FEMININO,396246,62128342,0.006377862135770499
2004,MASCULINO,546893,59010476,0.009267727309977977
2004,NÃO INFORMADO,119,193461,0.0006151110559751061
2006,FEMININO,392200,64829798,0.006049687213278067
2006,MASCULINO,537881,60819688,0.008843863191142973
2006,NÃO INFORMADO,116,177633,0.0006530318127825347
2008,FEMININO,428947,66589108,0.006441699143950088
2008,MASCULINO,579546,62057027,0.0093389262750212
2008,NÃO INFORMADO,76,160457,0.0004736471453411194
2010,FEMININO,461336,70252943,0.0065667853943143705
2010,MASCULINO,612433,65202645,0.009392763131004884
2012,FEMININO,484632,71885588,0.006741712956427372
2012,MASCULINO,635026,66525313,0.009545629646267128
2012,NÃO INFORMADO,97,133447,0.0007268803345148262
2014,FEMININO,508110,74248667,0.006843355181043183
2014,MASCULINO,659025,68104171,0.009676720093986608
2014,NÃO INFORMADO,258,115024,0.0022430101544025595
2016,FEMININO,549259,75226056,0.007301446190399773
2016,MASCULINO,704020,68767634,0.010237665003859229
2016,NÃO INFORMADO,117,95222,0.0012287076515931192
2018,FEMININO,559805,77047366,0.007265725346146162
2018,MASCULINO,702805,69694781,0.01008404058260833
2018,NÃO INFORMADO,127,63401,0.0020031229791328212
2020,FEMININO,662604,77649569,0.008533260500132332
2020,MASCULINO,847517,70228457,0.012067999728372218
2020,NÃO INFORMADO,97,40457,0.0023976073361840966
