ano,uf,obitos,exposicao,Mx
2004,RJ,110062,10515216,0.010466927165357326
2004,RS,68823,7543188,0.009123861157908301
2004,PE,48726,5651120,0.00862236158496015
2004,SP,230571,27055013,0.008522302317873586
2004,PR,56481,6907327,0.008176969180697541
2004,ES,17421,2236176,0.00779053169339086
2004,AL,13759,1769250,0.007776741557156987
2004,PB,18843,2468429,0.007633600156212716
2004,MG,100528,13281088,0.007569259385978016
2004,MS,11246,1492702,0.007533988699686876
2004,SC,28819,3996828,0.007210467901045529
2004,CE,36870,5137253,0.007176987389953347
2004,GO,25286,3610635,0.007003200268096886
2004,SE,8400,1243591,0.006754632350989996
2004,RN,13320,2024288,0.006580091370397888
2004,BA,57509,8954998,0.00642200031758801
2004,MT,11448,1836140,0.0062348186957421545
2004,PI,12083,1987040,0.006080904259602222
2004,DF,8659,1510709,0.005731745822656779
2004,RO,5426,951813,0.005700699612213743
2004,AC,2191,387657,0.00565190361582533
2004,PA,21299,3979643,0.0053519876029081
2004,AM,8878,1660217,0.005347493731241157
2004,TO,4448,843229,0.005274960894371517
2004,RR,1123,214659,0.005231553300816644
2004,MA,19496,3745493,0.0052051892768188324
2004,AP,1543,328577,0.004696007328571385
2006,RJ,107575,10891293,0.009877155999751362
2006,RS,68227,7750583,0.008802821671608445
2006,PE,47713,5834512,0.008177719062022668
2006,SP,223843,28037734,0.007983633770118513
2006,PR,55129,7121257,0.007741470361201681
2006,ES,17445,2336133,0.007467468675798852
2006,MG,99689,13679738,0.0072873471699531085
2006,PB,18620,2573766,0.007234534918869859
2006,MS,11283,1561181,0.0072272209308209615
2006,AL,13318,1859487,0.007162190432092292
2006,SC,28315,4168495,0.006792619398607891
2006,CE,36235,5361581,0.006758267757215642
2006,SE,8603,1299785,0.00661878695322688
2006,GO,24706,3734185,0.006616169257816632
2006,BA,57709,9109353,0.006335137083830213
2006,RN,12993,2101144,0.006183774172546004
2006,PI,12713,2073504,0.006131167337994043
2006,MT,11476,1940270,0.005914640745875574
2006,AC,2275,412840,0.005510609437070052
2006,RO,5342,988631,0.005403431614019791
2006,PA,21987,4157735,0.005288215819430531
2006,MA,20382,3920608,0.005198683469502689
2006,AM,9180,1781316,0.005153493260039207
2006,DF,8506,1655050,0.005139421769735053
2006,TO,4391,882728,0.004974352235343164
2006,RR,1160,233596,0.004965838456137948
2006,AP,1382,360614,0.0038323525986234588
2008,RJ,116274,11259334,0.010326898553679995
2008,RS,71277,7925459,0.008993422336800935
2008,PE,50458,6065823,0.008318409554647407
2008,PR,60484,7299999,0.008285480587052136
2008,SP,237722,29143285,0.008157007694911537
2008,PB,21015,2655369,0.00791415430397809
2008,ES,19272,2441069,0.00789490178278451
2008,MG,107083,14072285,0.007609496254517301
2008,MS,12186,1618383,0.007529738016279212
2008,AL,14822,1976836,0.007497839982679393
2008,GO,28208,3873536,0.0072822351463882095
2008,CE,39954,5631555,0.007094665682924166
2008,BA,64773,9153629,0.007076209883533624
2008,SC,30360,4354195,0.006972586207094538
2008,SE,9269,1369639,0.006767476685462374
2008,RN,14491,2172629,0.00666979958382218
2008,PI,14080,2186383,0.006439859804983848
2008,MT,12670,1993130,0.006356835730735075
2008,AM,10835,1907842,0.005679191463444038
2008,TO,5257,926716,0.005672719581835212
2008,PA,25484,4515590,0.005643559313400907
2008,RO,5606,1028624,0.005449999222261973
2008,AC,2405,443148,0.005427080794678076
2008,MA,22268,4159519,0.005353503614240012
2008,RR,1228,247790,0.0049558093546955085
2008,AP,1651,384825,0.0042902618073150135
2010,RJ,121584,11589763,0.0104906372977601
2010,RS,75642,8112236,0.009324432869063475
2010,PR,63913,7601553,0.00840788717779117
2010,SP,253972,30301398,0.008381527479359203
2010,PE,51446,6259850,0.008218407789324025
2010,PB,22103,2740079,0.008066555745290556
2010,AL,16319,2034326,0.00802182147797354
2010,ES,20141,2523185,0.007982371486831128
2010,MG,115720,14522090,0.007968549981442065
2010,MS,13506,1702511,0.0079329883918518
2010,GO,30743,4061371,0.0075696113455283945
2010,BA,70353,9550898,0.007366113636644429
2010,SC,33128,4538981,0.007298554455284127
2010,SE,10175,1425973,0.007135478722247897
2010,CE,41179,5881584,0.007001345215846616
2010,RN,15145,2246691,0.006741024911747989
2010,MT,13809,2095825,0.006588813474407453
2010,PI,14414,2263834,0.006367074617661896
2010,TO,5848,948920,0.00616279559920752
2010,RO,6497,1079327,0.006019491775893682
2010,PA,27660,4768457,0.005800618522931003
2010,AM,11477,2030549,0.005652165990576933
2010,AC,2595,470975,0.005509846594829874
2010,DF,9948,1836280,0.005417474459232797
2010,MA,23305,4324696,0.005388818081085931
2010,RR,1428,271890,0.005252124020743683
2010,AP,1768,420799,0.004201530897174185
2012,RJ,120608,11893309,0.010140827922658026
2012,RS,77072,8328413,0.009254103993161723
2012,AL,17127,1863029,0.009193093612606137
2012,PR,65721,7727727,0.008504570619536637
2012,PB,23959,2865819,0.008360262807944257
2012,PE,54031,6496263,0.0083172433135789
2012,SP,259548,31253317,0.008304654510751611
2012,GO,33916,4219655,0.008037623928970497
2012,MG,119952,15019136,0.007986611213854113
2012,SE,11031,1386366,0.007956773319599587
2012,ES,20618,2623944,0.007857637205672072
2012,MS,13758,1775061,0.007750719552736498
2012,CE,46111,6192371,0.007446420765164103
2012,BA,74808,10110122,0.0073993172387039445
2012,RN,16964,2355539,0.007201748729271729
2012,SC,33969,4739345,0.007167446134434189
2012,PI,16299,2365074,0.006891539123088749
2012,MT,14720,2170993,0.006780307444565689
2012,RO,7015,1105353,0.00634638889115061
2012,TO,6102,990811,0.006158591295413555
2012,AM,12911,2164620,0.00596455728950116
2012,PA,30191,5100797,0.005918878951661868
2012,AC,2891,498017,0.005805022720107948
2012,MA,26252,4558855,0.0057584634738327934
2012,RR,1508,292394,0.005157424570955628
2012,AP,2181,448018,0.004868107977804463
2014,RJ,125561,12141145,0.010341775837451904
2014,RS,79858,8392033,0.009515930168530081
2014,AL,17867,1995727,0.008952627288201242
2014,PE,54972,6356307,0.008648418020086191
2014,PB,24086,2835882,0.0084933012022362
2014,PR,66624,7865950,0.008469924166820282
2014,SP,270833,31998432,0.008463945983353184
2014,GO,35763,4331733,0.008256049022412046
2014,MG,123078,15248681,0.008071386633375043
2014,ES,20999,2653536,0.007913591524667463
2014,SE,11476,1454165,0.007891814202652381
2014,CE,49379,6271554,0.007873487177181285
2014,RN,18224,2327451,0.007830025207834665
2014,MS,14214,1818937,0.007814454266420441
2014,BA,78513,10185417,0.007708373648324855
2014,PI,17434,2345694,0.007432341984930686
2014,SC,35627,4859324,0.007331678233433292
2014,MT,15719,2189703,0.007178599106819509
2014,TO,6605,996887,0.006625625572406903
2014,MA,29385,4497336,0.006533868049885532
2014,RO,7053,1127154,0.006257352588909767
2014,AM,13920,2226891,0.006250867240471132
2014,PA,31860,5188450,0.006140562210294019
2014,AC,3058,506724,0.006034843425612365
2014,DF,11219,1897677,0.005911964997204477
2014,RR,1655,299558,0.005524806548314516
2014,AP,2411,455514,0.005292921842138771
2016,RJ,135708,12414879,0.010931077137360743
2016,RS,85423,8362830,0.010214604386314202
2016,PE,64066,6509982,0.009841194645392261
2016,PB,26930,2889731,0.009319206528220101
2016,AL,19700,2146520,0.009177645677654995
2016,PR,72218,7869450,0.009177007287675759
2016,SP,286503,32684931,0.008765599046239381
2016,RN,21040,2401871,0.008759837643237293
2016,MS,15897,1875869,0.008474472364541448
2016,MG,130764,15692491,0.00833290266025961
2016,SE,12775,1540376,0.008293429656135904
2016,CE,51841,6324780,0.008196490628923062
2016,GO,36135,4464442,0.00809395664676571
