idade,Amarela,Branca,Indígena,Parda,Preta
0,53,17297,529,18818,1472
1,7,1208,155,1340,119
2,1,689,54,757,62
3,1,519,18,573,46
4,1,405,15,466,39
5,0,385,13,420,35
6,5,354,13,373,34
7,1,297,12,384,48
8,2,328,9,375,29
9,1,292,6,379,50
10,2,325,8,421,40
11,3,351,5,416,64
12,0,383,9,482,72
13,1,451,12,627,84
14,3,584,10,874,92
15,3,795,23,1255,158
16,12,984,16,1763,240
17,3,1239,23,2116,291
18,8,1487,21,2421,342
19,8,1676,21,2596,350
20,15,1773,27,2891,402
21,12,1975,19,2989,426
22,8,1905,15,2949,416
23,8,1898,21,2903,433
24,17,1853,18,2917,427
25,9,1902,19,2862,431
26,6,1918,17,2848,434
27,7,2025,17,2922,469
28,12,2146,11,3059,516
29,12,2074,13,2953,509
30,14,2113,21,2949,546
31,14,2114,23,2911,576
32,12,2216,21,2862,556
33,8,2141,19,2843,551
34,9,2295,16,2775,571
35,10,2332,23,2876,615
36,21,2314,20,2774,566
37,16,2450,21,2915,629
38,20,2604,23,2833,666
39,15,2693,19,2981,691
40,17,2812,16,3237,676
41,11,3210,11,3268,727
42,18,3314,16,3398,834
43,27,3591,18,3521,780
44,21,3927,12,3699,887
45,25,4054,17,3940,908
46,17,4579,18,4162,962
47,22,4853,14,4142,1025
48,37,4996,21,4222,1048
49,38,5275,20,4140,1100
50,34,5647,26,4455,1170
51,40,5937,25,4392,1198
52,42,6400,15,4834,1362
53,32,6581,17,4676,1250
54,68,6952,21,4896,1357
55,45,7213,25,4900,1309
56,56,7475,20,5169,1411
57,49,7724,21,4977,1394
58,63,8053,25,5254,1408
59,62,8229,24,5190,1373
60,80,8569,31,5480,1522
61,76,8760,24,5316,1421
62,89,9055,30,5687,1445
63,98,9334,23,5500,1426
64,98,9285,31,5408,1469
65,104,9755,34,5646,1486
66,109,10100,29,5902,1536
67,91,10413,33,5933,1596
68,96,10458,32,5748,1502
69,109,10995,29,6006,1537
70,149,11984,38,6727,1696
71,155,12159,46,6482,1685
72,134,12450,37,6241,1629
73,165,12757,44,6467,1672
74,151,13839,39,6837,1724
75,179,13742,30,6355,1630
76,139,13563,37,5803,1543
77,178,13898,36,6237,1668
78,171,14321,37,6501,1571
79,165,15280,29,6489,1585
80,159,15571,29,6370,1622
81,196,15174,32,5869,1429
82,198,14871,34,5885,1354
83,177,14744,38,5484,1296
84,160,14160,31,5570,1345
85,181,13640,33,5141,1182
86,176,12628,23,4652,1078
87,175,11834,37,4235,997
88,149,10731,42,3682,894
89,137,9733,36,3317,822
90,131,8839,20,3239,772
91,130,7823,32,2867,614
92,100,6874,22,2542,563
93,104,5808,20,2175,470
94,72,5103,21,1986,483
95,72,4141,14,1707,364
96,64,3197,20,1305,268
97,42,2465,18,1116,242
98,34,1845,4,792,189
99,38,1417,7,706,165
100,14,995,3,522,131
101,16,609,1,333,75
102,4,432,1,306,90
103,8,352,1,245,86
104,2,274,1,221,53
105,4,148,0,112,31
106,0,76,0,68,18
107,1,39,1,39,10
108,1,28,0,19,13
109,0,19,0,18,3
110,0,6,0,9,5
111,0,8,0,1,0
112,0,0,0,2,0
113,0,0,0,1,0
114,0,4,0,1,0
115,0,3,0,4,1
