idade,1 a 3 anos,12 anos ou mais,4 a 7 anos,8 a 11 anos,Nenhuma
0,28,2,24,6,100
1,0,0,0,0,5
2,0,0,0,0,44
3,0,0,0,0,26
4,0,0,0,0,33
5,0,0,0,0,30
6,0,0,0,0,394
7,355,0,1,0,199
8,369,0,0,0,156
9,332,0,117,0,127
10,214,0,254,10,133
11,164,3,348,23,115
12,135,6,435,43,128
13,138,1,562,70,160
14,203,9,656,201,143
15,258,19,941,402,148
16,339,32,1185,631,163
17,420,97,1350,816,167
18,468,168,1524,984,163
19,472,308,1503,1115,176
20,578,298,1634,1205,183
21,578,345,1699,1306,188
22,605,338,1646,1265,203
23,582,371,1635,1233,196
24,646,415,1561,1159,232
25,658,393,1469,1223,227
26,658,438,1492,1146,222
27,727,395,1589,1120,251
28,791,472,1636,1200,258
29,793,398,1600,1128,324
30,793,453,1575,1039,326
31,849,448,1624,1002,330
32,863,382,1645,999,359
33,900,385,1543,1021,370
34,898,380,1603,931,344
35,984,383,1629,961,373
36,950,349,1684,949,372
37,1058,388,1711,961,417
38,1053,402,1783,980,440
39,1120,395,1879,1018,468
40,1150,429,1857,1001,524
41,1274,456,2072,1093,553
42,1386,447,2067,1134,648
43,1422,509,2229,1184,649
44,1574,525,2396,1306,684
45,1638,618,2413,1337,715
46,1873,617,2626,1459,763
47,1899,696,2753,1439,778
48,1908,672,2760,1566,837
49,2003,728,2860,1618,835
50,2217,778,2935,1645,940
51,2198,827,3088,1738,937
52,2461,859,3381,1774,1058
53,2481,903,3239,1758,1108
54,2688,951,3391,1830,1207
55,2649,972,3405,1760,1259
56,2976,961,3491,1848,1408
57,2994,1064,3550,1749,1517
58,3201,1080,3625,1711,1596
59,3269,1033,3598,1662,1769
60,3412,1061,3740,1659,2024
61,3434,1013,3654,1658,2016
62,3688,1093,3778,1600,2263
63,3726,997,3743,1532,2398
64,3752,972,3716,1513,2450
65,3896,1003,3807,1512,2674
66,4154,932,3951,1538,2795
67,4310,922,4002,1523,3047
68,4261,829,3956,1486,3089
69,4560,954,3924,1433,3444
70,5104,915,4212,1548,3885
71,5065,901,4216,1577,3751
72,4913,938,4156,1550,3959
73,5298,951,4160,1477,4253
74,5626,940,4434,1622,4543
75,5537,898,4290,1507,4503
76,5252,927,4099,1472,4333
77,5431,885,4129,1425,4838
78,5675,891,4176,1482,4854
79,5961,983,4263,1573,5252
80,5840,976,4204,1531,5509
81,5607,909,4145,1441,5087
82,5623,909,3840,1453,5211
83,5416,889,3807,1313,5031
84,5343,822,3570,1327,5215
85,4948,840,3292,1210,5018
86,4520,798,2959,1168,4692
87,4249,717,2775,1075,4347
88,3750,662,2454,1022,3933
89,3252,571,2191,864,3761
90,2957,486,1978,769,3783
91,2666,437,1687,675,3305
92,2286,383,1479,591,2964
93,1876,340,1243,491,2668
94,1577,296,1088,441,2425
95,1217,239,873,336,2142
96,978,196,614,294,1574
97,787,146,537,183,1311
98,576,94,371,122,1022
99,428,66,291,104,930
100,290,48,180,78,694
101,217,28,115,37,415
102,121,19,73,40,412
103,94,10,56,25,360
104,80,5,29,20,280
105,41,6,24,6,161
106,21,4,15,6,82
107,11,3,8,3,43
108,9,3,2,2,37
109,9,0,3,0,26
110,1,0,0,0,14
111,2,1,0,0,3
112,0,0,0,0,2
114,0,0,0,0,1
115,2,0,2,0,3
