idade,Casado(a),Divorciado(a),Solteiro(a),União Consensual,Viúvo(a)
0,31,8,156,3,21
1,0,0,5,0,0
2,0,0,55,0,0
3,0,0,28,0,0
4,0,0,35,0,0
5,0,0,37,0,0
6,0,0,734,0,0
7,0,0,695,0,0
8,0,0,715,0,0
9,0,0,706,0,0
10,0,0,788,0,0
11,2,0,825,0,1
12,2,1,966,0,0
13,4,2,1183,0,0
14,6,2,1557,1,0
15,8,1,2277,1,1
16,37,4,3018,1,7
17,46,6,3634,2,10
18,72,8,4174,9,10
19,73,10,4552,11,11
20,117,10,4871,24,16
21,208,10,5121,27,3
22,279,19,4911,26,11
23,367,28,4787,33,9
24,437,22,4670,27,17
25,517,33,4538,27,9
26,603,36,4473,34,15
27,689,63,4512,22,19
28,879,66,4632,32,22
29,855,68,4469,36,21
30,1037,93,4193,34,30
31,1155,119,4152,39,27
32,1177,144,4095,43,36
33,1229,146,4008,44,37
34,1312,192,3975,34,40
35,1447,194,3863,46,52
36,1573,229,3716,31,61
37,1704,271,3820,37,56
38,1773,286,3876,42,69
39,1961,340,3912,48,77
40,2097,381,3910,42,95
41,2464,443,4058,28,124
42,2663,500,4109,37,149
43,2907,634,4047,32,171
44,3319,664,4138,50,217
45,3540,779,4169,38,214
46,3915,879,4460,31,295
47,4258,954,4359,43,346
48,4487,1045,4189,43,405
49,4677,1107,4166,35,452
50,5169,1171,4204,58,541
51,5546,1252,4081,37,585
52,6189,1383,4238,46,711
53,6292,1431,3939,46,802
54,6717,1522,4042,36,866
55,7026,1508,3850,26,979
56,7449,1550,3850,40,1159
57,7689,1556,3700,42,1214
58,8099,1554,3632,34,1433
59,8214,1488,3602,37,1506
60,8643,1538,3596,41,1758
61,8697,1524,3492,41,1836
62,8998,1535,3522,33,2234
63,9092,1468,3486,34,2303
64,9043,1462,3317,41,2495
65,9376,1464,3370,41,2753
66,9645,1458,3439,41,3129
67,9854,1347,3442,31,3481
68,9639,1321,3256,33,3643
69,9879,1305,3485,35,4007
70,10803,1311,3723,38,4809
71,10633,1283,3515,23,5146
72,10541,1140,3415,25,5517
73,10389,1146,3599,34,6023
74,10954,1167,3696,32,6818
75,10463,1108,3488,25,6958
76,9791,976,3190,21,7265
77,9928,990,3435,29,7752
78,9886,916,3362,36,8465
79,9884,842,3512,16,9513
80,9533,766,3517,36,10112
81,8806,696,3084,20,10288
82,8204,666,3102,19,10501
83,7737,554,2949,21,10697
84,7095,506,2947,15,10909
85,6442,425,2791,13,10676
86,5680,336,2504,9,10196
87,4791,339,2400,13,9837
88,4041,258,2142,12,9184
89,3359,209,2035,13,8534
90,2873,196,1973,11,8079
91,2383,165,1718,10,7304
92,1918,121,1611,7,6552
93,1478,118,1398,5,5665
94,1257,72,1248,5,5130
95,962,64,1090,4,4282
96,656,40,854,11,3322
97,498,30,692,3,2702
98,349,22,561,5,1979
99,272,17,484,0,1581
100,163,7,366,0,1141
101,114,3,219,0,720
102,76,4,222,1,549
103,58,1,219,0,430
104,47,3,192,0,315
105,17,1,105,0,171
106,9,2,50,0,105
107,4,0,27,0,61
108,2,0,17,0,44
109,4,0,12,0,25
110,0,0,7,0,12
111,0,0,2,0,8
112,0,0,2,0,0
114,1,0,0,0,4
115,3,0,3,0,2
