idade,deaths
-1,42
0,67595
1,2511
2,1513
3,1138
4,886
5,714
6,658
7,603
8,550
9,533
10,571
11,643
12,709
13,832
14,1093
15,1532
16,2134
17,2703
18,3256
19,3800
20,4248
21,4658
22,4841
23,4854
24,4885
25,4763
26,4894
27,5142
28,5038
29,5038
30,4878
31,4945
32,5169
33,5757
34,5964
35,5947
36,6406
37,6481
38,6682
39,7564
40,8151
41,8292
42,8499
43,8857
44,9440
45,9436
46,10022
47,10287
48,11076
49,11370
50,11861
51,12529
52,13293
53,14349
54,15052
55,15829
56,17405
57,18383
58,19588
59,20376
60,20760
61,22112
62,23087
63,24148
64,25724
65,26483
66,27116
67,27878
68,29055
69,29164
70,29860
71,30497
72,31431
73,31152
74,32239
75,32304
76,31574
77,32267
78,32791
79,32819
80,31761
81,32354
82,35139
83,33623
84,32402
85,31787
86,32375
87,30037
88,26788
89,25764
90,24791
91,23543
92,21213
93,17962
94,15314
95,13017
96,10743
97,8479
98,6313
99,4942
100,3363
101,2778
102,2015
103,1462
104,1012
105,764
106,563
107,406
108,273
109,218
110,167
111,131
112,92
113,77
114,71
115,84
116,91
117,84
118,68
119,74
120,46
121,74
122,60
123,68
124,60
125,67
126,60
127,64
128,88
129,91
130,76
131,61
132,90
133,78
134,93
135,84
136,80
137,98
138,78
139,98
140,82
141,87
142,61
143,114
144,78
145,89
146,85
147,97
148,87
149,94
150,108
151,81
152,100
153,89
154,89
155,110
156,103
157,88
158,112
159,97
160,90
161,94
162,98
163,129
164,104
165,100
166,102
167,107
168,92
169,88
170,90
171,117
172,101
173,98
174,82
175,98
176,70
177,86
178,76
179,89
180,70
181,73
182,73
183,76
184,61
185,72
186,51
187,45
188,40
189,44
190,41
191,28
192,35
193,32
194,26
195,28
196,12
197,13
198,23
199,13
200,11
201,13
202,9
203,7
204,4
205,8
206,3
207,4
208,4
209,4
210,3
211,2
212,2
213,1
214,1
216,1
217,1
220,1
