idade,Feminino,Masculino
-1,20,22
0,29562,36783
1,1148,1360
2,716,797
3,514,624
4,389,497
5,318,396
6,294,364
7,267,336
8,244,306
9,250,283
10,274,297
11,307,336
12,304,405
13,354,477
14,424,668
15,488,1044
16,589,1544
17,646,2057
18,676,2580
19,720,3079
20,859,3389
21,919,3739
22,952,3888
23,1000,3854
24,981,3903
25,1021,3742
26,1117,3777
27,1192,3950
28,1250,3787
29,1227,3810
30,1248,3630
31,1280,3665
32,1453,3716
33,1621,4135
34,1715,4249
35,1797,4150
36,1934,4471
37,2026,4454
38,2242,4440
39,2513,5050
40,2736,5413
41,2863,5426
42,2945,5553
43,3149,5707
44,3364,6076
45,3438,5997
46,3728,6294
47,3717,6567
48,4057,7017
49,4259,7111
50,4379,7480
51,4536,7991
52,4909,8384
53,5274,9074
54,5554,9496
55,5824,10004
56,6476,10929
57,6933,11449
58,7369,12219
59,7727,12647
60,8046,12712
61,8648,13462
62,8978,14107
63,9558,14588
64,10446,15277
65,10572,15910
66,11151,15963
67,11704,16166
68,12106,16943
69,12351,16813
70,12717,17140
71,13034,17459
72,13674,17756
73,13911,17238
74,14532,17705
75,14756,17541
76,14617,16957
77,15301,16963
78,15795,16993
79,16013,16801
80,15610,16151
81,16380,15968
82,18225,16913
83,17713,15906
84,17540,14859
85,17595,14190
86,18238,14135
87,17074,12962
88,15720,11065
89,15338,10422
90,15064,9724
91,14575,8966
92,13399,7814
93,11385,6576
94,9928,5385
95,8611,4405
96,7265,3478
97,5667,2810
98,4315,1997
99,3406,1535
100,2342,1020
101,1930,848
102,1422,593
103,1024,438
104,704,308
105,542,222
106,403,160
107,286,120
108,197,76
109,149,69
110,114,53
111,78,53
112,44,48
113,45,32
114,32,39
115,49,35
116,51,40
117,36,48
118,30,38
119,27,47
120,15,31
121,29,45
122,22,37
123,29,39
124,24,36
125,29,38
126,23,37
127,29,35
128,34,54
129,40,51
130,21,55
131,30,31
132,32,58
133,32,46
134,38,55
135,28,56
136,39,41
137,38,60
138,34,44
139,46,52
140,42,40
141,39,48
142,30,31
143,42,72
144,38,40
145,39,50
146,44,41
147,46,51
148,29,58
149,46,48
150,54,54
151,41,40
152,43,57
153,36,53
154,38,51
155,48,62
156,44,59
157,55,33
158,56,56
159,49,48
160,41,49
161,46,48
162,47,51
163,64,65
164,62,42
165,48,52
166,50,52
167,57,50
168,48,44
169,50,38
170,44,46
171,72,45
172,51,50
173,52,46
174,51,31
175,51,47
176,41,29
177,60,26
178,54,22
179,58,31
180,40,30
181,43,30
182,43,30
183,49,27
184,38,23
185,52,20
186,26,25
187,29,16
188,29,11
189,31,13
190,28,13
191,19,9
192,23,12
193,20,12
194,17,9
195,22,6
196,9,3
197,9,4
198,14,9
199,7,6
200,9,2
201,9,4
202,8,1
203,6,1
204,3,1
205,7,1
206,2,1
207,2,2
208,4,0
209,4,0
210,2,1
211,0,2
212,2,0
213,0,1
214,0,1
216,1,0
217,0,1
220,1,0
