idade,deaths,population,mx
1,2511,2353945,0.0010667199106181326
2,1513,2563419,0.0005902273487088923
3,1138,2699784,0.0004215152026976973
4,886,2729447,0.00032460787844570716
5,714,2640786,0.00027037404772669953
6,658,2771512,0.00023741553347053884
7,603,2831711,0.00021294545947662033
8,550,2740900,0.00020066401546937136
9,533,2764531,0.0001927994296320063
10,571,2701639,0.00021135318227194676
11,643,2717865,0.00023658275889346968
12,709,2773621,0.0002556225237694696
13,832,2745700,0.0003030192664894198
14,1093,2736136,0.0003994684474748331
15,1532,2819510,0.0005433568244127525
16,2134,2874948,0.0007422742950481191
17,2703,2910839,0.0009285982495081315
18,3256,2930177,0.0011111956717973009
19,3800,2840468,0.0013378077133768098
20,4248,2933408,0.001448144956310203
21,4658,3012254,0.0015463503409739018
22,4841,3317163,0.0014593795963599016
23,4854,3119708,0.0015559148484409438
24,4885,3083930,0.0015840177954752539
25,4763,3178228,0.0014986338299203205
26,4894,3137357,0.0015599117346224863
27,5142,3151438,0.0016316360975529266
28,5038,3072702,0.0016395992842781369
29,5038,2929998,0.001719455098604163
30,4878,3216442,0.0015165826089822232
31,4945,2878394,0.0017179718968285786
32,5169,3132756,0.0016499848695525601
33,5757,3135061,0.0018363279055814226
34,5964,3110464,0.0019173988189543426
35,5947,3293985,0.0018054119857862133
36,6406,3268142,0.00196013514712641
37,6481,3138994,0.002064674223652546
38,6682,3202086,0.002086764690267532
39,7564,3269584,0.002313444156810163
40,8151,3652173,0.0022318219865269254
41,8292,3130250,0.0026489896973085217
42,8499,3372479,0.0025201046470563642
43,8857,3043961,0.002909695623564165
44,9440,2873307,0.003285412940559432
45,9436,2964385,0.0031831223002410283
46,10022,2758999,0.0036324768512058176
47,10287,2706033,0.003801505746603977
48,11076,2635109,0.004203241687535506
49,11370,2575586,0.004414529353708244
50,11861,2763559,0.004291929356311915
51,12529,2445642,0.005122990200528123
52,13293,2582701,0.005146937256771109
53,14349,2436674,0.00588876476705542
54,15052,2370005,0.006351041453499043
55,15829,2392559,0.006615928802591702
56,17405,2367080,0.007352941176470588
57,18383,2299171,0.00799549054854989
58,19588,2329142,0.008409963840761963
59,20376,2181154,0.00934184381295406
60,20760,2239491,0.00926996357654485
61,22112,1961686,0.011271936487286957
62,23087,2050673,0.01125825521670203
63,24148,1869504,0.012916795042963267
64,25724,1823035,0.014110535453241436
65,26483,1824761,0.014513133500770785
66,27116,1640951,0.016524564109470667
67,27878,1559964,0.017870925226479584
68,29055,1504419,0.019313103596803816
69,29164,1346137,0.021664956835745545
70,29860,1404853,0.021254892860676527
71,30497,1185459,0.02572590026310484
72,31431,1215723,0.025853751224579943
73,31152,1047908,0.02972780053210778
74,32239,1004593,0.03209160326619835
75,32304,931995,0.03466113015627766
76,31574,826969,0.038180391284316585
77,32267,747238,0.04318169043865542
78,32791,717835,0.0456804140227211
79,32819,623342,0.05265007010597714
80,31761,612385,0.05186443168921512
81,32354,495583,0.0652847252629731
82,35139,535147,0.06566233203213323
83,33623,439091,0.07657410422896392
84,32402,392824,0.0824847768975419
85,31787,339825,0.09353932170970353
86,32375,325551,0.09944678406762689
87,30037,266069,0.11289176867654631
88,26788,213729,0.12533629034899335
89,25764,184029,0.13999967396442953
90,24791,172210,0.14395795830671854
91,23543,130874,0.1798905817809496
92,21213,119685,0.17724025567113674
93,17962,87785,0.20461354445520305
94,15314,69175,0.22138055655945066
95,13017,53568,0.24299955197132617
96,10743,42055,0.25545119486386875
97,8479,30469,0.27828284485870886
98,6313,22658,0.2786212375319975
99,4942,16428,0.30082785488190894
100,3363,37814,0.08893531496271222
