idade,deaths,population,mx
1,2,4829,0.0004141644232760406
2,4,5512,0.000725689404934688
3,3,6002,0.0004998333888703765
4,2,6283,0.0003183192742320548
5,1,6160,0.00016233766233766234
6,3,6606,0.00045413260672116256
7,1,6808,0.00014688601645123384
8,1,6605,0.0001514004542013626
11,1,6984,0.000143184421534937
12,1,7282,0.00013732491073880802
13,2,7224,0.0002768549280177187
14,4,7642,0.0005234231876472127
15,6,7785,0.0007707129094412332
16,3,8140,0.00036855036855036854
17,2,8454,0.0002365744026496333
18,5,8892,0.0005623031938821412
19,10,8795,0.0011370096645821489
20,15,9139,0.001641317430791115
21,6,9702,0.0006184291898577613
22,14,10284,0.0013613380007779074
23,15,10155,0.0014771048744460858
24,11,10260,0.0010721247563352826
25,10,10616,0.0009419743782969103
26,4,10499,0.00038098866558719876
27,12,10695,0.0011220196353436186
28,18,10181,0.0017679992142225715
29,20,9694,0.0020631318341242004
30,12,10506,0.001142204454597373
31,15,10683,0.0014040999719180005
32,15,11710,0.0012809564474807857
33,12,11915,0.0010071338648762064
34,20,12061,0.0016582372937567365
35,19,12672,0.0014993686868686868
36,17,12940,0.0013137557959814528
37,21,12670,0.0016574585635359116
38,19,13343,0.0014239676234729822
39,20,13448,0.00148720999405116
40,23,15038,0.0015294587046149753
41,20,13579,0.0014728625082848516
42,18,14456,0.0012451577199778638
43,30,13547,0.0022145124381781943
44,23,12955,0.0017753763025858743
45,35,12994,0.002693550869632138
46,25,11831,0.0021130927225086636
47,39,11994,0.0032516258129064533
48,42,11532,0.0036420395421436005
49,57,11409,0.004996055745464107
50,41,12163,0.003370878895009455
51,49,11217,0.0043683694392440044
52,38,11376,0.003340365682137834
53,50,11163,0.004479082683866344
54,43,10900,0.003944954128440367
55,51,11112,0.00458963282937365
56,78,10959,0.0071174377224199285
57,62,11369,0.005453425982936054
58,74,11469,0.006452175429418432
59,83,10866,0.007638505429780968
60,99,11473,0.00862895493767977
61,96,10328,0.009295120061967466
62,94,10712,0.008775205377147125
63,115,10299,0.011166132634236334
64,134,10408,0.012874711760184473
65,94,10873,0.008645268095281891
66,138,10428,0.013233601841196778
67,134,10493,0.012770418374154198
68,152,10521,0.014447295884421634
69,141,10352,0.013620556414219474
70,184,10916,0.016855991205569805
71,176,10126,0.01738099940746593
72,179,10334,0.017321463131410877
73,182,9679,0.01880359541274925
74,227,9513,0.02386208346473247
75,229,9205,0.02487778381314503
76,225,8333,0.027001080043201727
77,215,7776,0.02764917695473251
78,244,7303,0.033410927016294674
79,239,6769,0.03530802186438174
80,238,6870,0.0346433770014556
81,238,5546,0.0429138117562207
82,276,5526,0.0499457111834962
83,257,4907,0.05237415936417363
84,271,4422,0.061284486657620985
85,280,3933,0.07119247393846936
86,269,3664,0.07341703056768559
87,287,2905,0.09879518072289156
88,252,2322,0.10852713178294573
89,263,2066,0.12729912875121008
90,272,1918,0.14181438998957246
91,208,1551,0.134107027724049
92,214,1284,0.16666666666666666
93,170,953,0.1783840503672613
94,156,814,0.19164619164619165
95,150,615,0.24390243902439024
96,117,508,0.23031496062992127
97,95,375,0.25333333333333335
98,66,245,0.2693877551020408
99,56,181,0.30939226519337015
100,46,312,0.14743589743589744
