idade,deaths,population,mx
1,750,1093024,0.0006861697455865562
2,462,1156433,0.00039950433790803273
3,319,1192333,0.00026754270828703054
4,241,1190253,0.0002024779605680473
5,255,1134636,0.00022474167926982751
6,189,1170494,0.0001614702851958233
7,167,1177504,0.00014182542055058835
8,151,1127376,0.00013393934233121868
9,177,1124794,0.00015736214809111712
10,198,1088589,0.00018188682781104714
11,205,1084761,0.0001889817203973963
12,227,1099645,0.00020643025703749848
13,317,1069600,0.00029637247569184745
14,407,1066359,0.0003816725886872995
15,496,1100046,0.00045089023549924273
16,635,1125518,0.0005641846687480786
17,872,1136956,0.0007669601989874718
18,1079,1145853,0.0009416565650218658
19,1254,1102202,0.0011377224864407794
20,1465,1140955,0.0012840120776016583
21,1459,1187543,0.0012285870911621726
22,1572,1302049,0.0012073278348203485
23,1580,1226274,0.0012884559242061725
24,1545,1219783,0.001266618734643785
25,1592,1262146,0.0012613437748089365
26,1583,1247318,0.0012691230303739703
27,1533,1260961,0.0012157394241376221
28,1576,1230799,0.0012804690286553693
29,1612,1181727,0.0013641052459662849
30,1732,1306946,0.0013252269030243026
31,1886,1196768,0.0015759111206181983
32,1882,1295714,0.001452481025905408
33,2016,1293635,0.0015583993939557912
34,2159,1281964,0.0016841346558873727
35,2272,1360303,0.0016702161209671668
36,2345,1352199,0.001734212198056647
37,2720,1299748,0.0020927133567429992
38,2809,1334216,0.0021053562541597463
39,2913,1378633,0.0021129626231201487
40,3051,1543832,0.001976251301955135
41,3263,1340272,0.0024345804433726884
42,3402,1425937,0.002385799653140356
43,3490,1292912,0.0026993329785785884
44,3665,1224510,0.002993033948273187
45,3941,1260177,0.003127338461184421
46,4225,1176061,0.003592500729128846
47,4508,1165219,0.003868800628894654
48,4778,1134811,0.004210392743813728
49,4937,1121779,0.0044010451256441775
50,5448,1216589,0.004478094081074216
51,5900,1098277,0.0053720509488954064
52,6533,1145518,0.005703096764956989
53,6896,1094451,0.006300875964296255
54,7374,1073375,0.006869919645976476
55,8198,1097640,0.007468751138806895
56,8778,1104876,0.007944782943968373
57,9406,1096120,0.008581177243367514
58,9771,1098578,0.008894225080058039
59,10334,1045293,0.009886223288589898
60,11068,1075252,0.010293400988791465
61,11901,967791,0.012297076538219513
62,12426,992923,0.012514565580614005
63,12934,922517,0.014020337836592713
64,13613,893382,0.0152376027276126
65,14098,905155,0.015575232971148588
66,14858,822127,0.01807263354688509
67,15438,790063,0.01954021388167779
68,15708,762933,0.020588963906398073
69,16070,699448,0.022975260491130148
70,16765,718269,0.023340837485677373
71,16926,626310,0.02702495569286775
72,17428,632174,0.02756835934410463
73,17669,560343,0.03153247207513969
74,17317,535383,0.032345068857247986
75,17693,502341,0.03522109483398727
76,18154,448170,0.04050695048753821
77,18398,408300,0.04506000489835905
78,18160,387365,0.04688084881184413
79,18290,344832,0.053040321083890125
80,19722,335236,0.05883019723418726
81,19686,280476,0.0701878235570958
82,19345,291672,0.06632450149482981
83,19602,248495,0.07888287490693978
84,20258,224637,0.09018104764575738
85,18977,196756,0.09644940942080546
86,17567,185388,0.09475802101538396
87,16894,154674,0.10922326958635582
88,16466,126013,0.13066905795433806
89,16286,108716,0.14980315684903786
90,15427,99319,0.15532778219675994
91,13440,78397,0.17143513144635636
92,12154,69808,0.17410611964244785
93,10484,52808,0.1985305256779276
94,8631,40934,0.2108516147945473
95,7179,31174,0.23028806056328993
96,5472,23912,0.22883907661425226
97,4344,16777,0.25892591047267094
98,3283,12017,0.2731963052342515
99,2392,8664,0.2760849492151431
100,1756,16485,0.10652107976948741
