idade,deaths,population,mx
1,115,27751,0.004143994810997802
2,51,28027,0.0018196738858957434
3,27,28471,0.0009483333918724316
4,18,27815,0.000647132841991731
5,15,27096,0.0005535872453498672
6,3,27261,0.00011004732034774953
7,12,27645,0.0004340748779164406
8,7,26815,0.0002610479209397725
9,8,26623,0.00030049205574127636
10,14,26509,0.0005281225244256667
11,13,25718,0.0005054825414106851
12,14,25545,0.0005480524564494031
13,18,25512,0.0007055503292568204
14,20,24905,0.0008030515960650472
15,25,25332,0.0009868940470551082
16,33,25527,0.0012927488541544247
17,34,24722,0.001375293261063021
18,34,24430,0.001391731477691363
19,25,23225,0.001076426264800861
20,35,23818,0.00146947686623562
21,47,22631,0.0020767973134196457
22,35,23731,0.001474864101807762
23,35,21678,0.0016145400867238675
24,27,20763,0.0013003901170351106
25,26,20927,0.0012424141061786209
26,28,20016,0.001398880895283773
27,30,18989,0.0015798620253831166
28,33,18489,0.0017848450429985396
29,33,17341,0.001903004440343694
30,31,18721,0.0016558944500827948
31,19,16039,0.001184612507014153
32,36,16971,0.0021212656885274883
33,29,15831,0.0018318489040490178
34,41,16032,0.002557385229540918
35,33,16362,0.002016868353502017
36,26,15867,0.0016386210373731645
37,31,15550,0.0019935691318327974
38,26,15525,0.001674718196457327
39,39,14921,0.002613765833389183
40,36,16057,0.002242012829295634
41,32,13582,0.002356059490502135
42,31,14710,0.0021074099252209383
43,21,13106,0.0016023195482984893
44,33,12341,0.002674013451097966
45,33,12548,0.002629901179470832
46,29,11936,0.0024296246648793565
47,35,11492,0.0030455969369996517
48,30,11146,0.002691548537591961
49,39,10731,0.00363433044450657
50,41,10932,0.0037504573728503474
51,45,9453,0.004760393525864805
52,44,10178,0.004323049715071723
53,44,9193,0.004786250407919069
54,38,9008,0.0042184724689165185
55,40,8917,0.00448581361444432
56,44,8626,0.005100857871551124
57,26,8241,0.0031549569227035555
58,41,8324,0.004925516578567996
59,40,7804,0.005125576627370579
60,49,8223,0.005958895780128906
61,52,6703,0.0077577204236908845
62,59,7383,0.007991331437085195
63,64,6212,0.0103026400515132
64,53,6280,0.008439490445859872
65,38,6081,0.006248972208518336
66,57,5502,0.010359869138495093
67,52,5452,0.009537784299339692
68,69,5283,0.01306076093128904
69,55,4628,0.01188418323249784
70,60,4910,0.012219959266802444
71,54,3899,0.013849705052577583
72,60,4251,0.014114326040931546
73,67,3394,0.019740718915733646
74,63,3232,0.019492574257425743
75,55,3130,0.01757188498402556
76,76,2825,0.026902654867256636
77,74,2737,0.02703690171720862
78,60,2609,0.022997316979685704
79,70,2227,0.03143242029636282
80,70,2264,0.030918727915194347
81,71,1834,0.03871319520174482
82,83,2155,0.03851508120649652
83,61,1464,0.041666666666666664
84,67,1454,0.04607977991746905
85,52,1185,0.04388185654008439
86,55,1209,0.045492142266335814
87,53,972,0.05452674897119342
88,51,767,0.06649282920469361
89,50,690,0.07246376811594203
90,57,673,0.08469539375928678
91,48,521,0.09213051823416507
92,47,527,0.08918406072106262
93,32,299,0.10702341137123746
94,23,299,0.07692307692307693
95,24,232,0.10344827586206896
96,31,247,0.12550607287449392
97,20,186,0.10752688172043011
98,18,167,0.10778443113772455
99,20,151,0.13245033112582782
100,18,614,0.029315960912052116
