idade,deaths,population,mx
1,912,1084986,0.0008405638413767551
2,585,1208528,0.0004840599473077992
3,387,1293140,0.0002992715405911193
4,354,1317075,0.0002687774044758271
5,301,1284956,0.00023424926612273104
6,281,1365720,0.00020575227718712475
7,253,1410445,0.00017937601253505098
8,250,1371930,0.00018222504063618406
9,257,1391773,0.00018465654959537223
10,295,1368311,0.00021559426183082647
11,320,1386998,0.00023071410340894506
12,332,1419093,0.0002339522497820791
13,457,1414963,0.00032297664320551136
14,711,1402526,0.0005069424737937122
15,1051,1435563,0.0007321169464523674
16,1534,1449429,0.0010583478045492398
17,2134,1456612,0.0014650435393914097
18,2652,1449442,0.001829669624586565
19,3063,1405337,0.0021795483930188986
20,3262,1442328,0.0022616214897027585
21,3238,1461793,0.0022150879091636095
22,3279,1609789,0.002036912912189113
23,3159,1506346,0.002097127751525878
24,3254,1480357,0.0021981184268389316
25,3200,1522423,0.002101912543360157
26,3156,1498258,0.0021064462862871417
27,3037,1495797,0.0020303557234036436
28,2953,1455275,0.0020291697445499993
29,2870,1383948,0.002073777338454913
30,3087,1514820,0.00203786588505565
31,3235,1332269,0.002428188301311522
32,3279,1458004,0.0022489650234155736
33,3416,1458102,0.002342771630516932
34,3564,1445330,0.002465872845647707
35,3725,1530538,0.0024337847214508886
36,3741,1512719,0.0024730303513078107
37,3946,1450833,0.00271981682247371
38,4316,1470784,0.0029344893607762936
39,4326,1487822,0.002907605882961806
40,4519,1657129,0.002727005562029269
41,4679,1405028,0.003330182743689094
42,4840,1526433,0.003170790987878276
43,4873,1372374,0.003550781346775733
44,5100,1292264,0.003946562002810571
45,5172,1335372,0.0038730780636406933
46,5400,1242812,0.00434498540406755
47,5770,1209627,0.004770065482995998
48,5851,1177252,0.004970048893524921
49,6046,1139735,0.00530474189175554
50,6530,1209134,0.00540055940863461
51,6751,1055086,0.006398530546325134
52,7237,1125950,0.006427461254940273
53,7620,1052229,0.0072417696147891765
54,7905,1017980,0.007765378494665907
55,8292,1016603,0.008156576362650906
56,8757,989498,0.008849942091848594
57,8883,943188,0.009418058753928166
58,8977,964141,0.009310878802996657
59,9352,889340,0.010515663300874806
60,10005,906594,0.011035810958378281
61,10016,777287,0.012885845254069604
62,10637,823582,0.012915532393859992
63,10568,735403,0.014370352038270173
64,11089,722900,0.015339604371282334
65,11210,714188,0.015696147232941465
66,11756,636757,0.018462301945640174
67,11616,596307,0.019479898776972263
68,11970,574394,0.020839354171526863
69,11906,499941,0.023814810147597416
70,12264,528366,0.023211183157129715
71,11945,430931,0.027719054790674144
72,12493,449287,0.02780627972765738
73,11890,375005,0.03170624391674778
74,11559,360893,0.032028883907418544
75,11675,329576,0.03542430274049081
76,12038,290204,0.041481164973604774
77,11953,259762,0.046015198527883217
78,11294,253034,0.04463431791775018
79,11424,213254,0.05356992131448882
80,12857,210719,0.0610149061071854
81,11567,163352,0.07081027474411088
82,11014,185906,0.05924499478230934
83,10683,145153,0.07359820327516482
84,10949,127660,0.08576688077706407
85,9721,108204,0.0898395623082326
86,8494,106399,0.07983157736444892
87,8244,84384,0.09769624573378839
88,8339,66457,0.12547963344719143
89,7573,56301,0.1345091561428749
90,7125,54709,0.1302345135169716
91,5855,39538,0.14808538621073397
92,5172,37383,0.13835165717037157
93,4664,26317,0.17722384770300567
94,3930,21069,0.18652997294603446
95,3253,16688,0.19493048897411314
96,2653,13433,0.19749869723814487
97,2088,10091,0.2069170548013081
98,1568,7881,0.1989595229031849
99,1300,5640,0.23049645390070922
100,1126,14973,0.07520203032124491
