idade,deaths,population,mx
1,89,143231,0.0006213738645963514
2,40,164812,0.00024270077421546975
3,30,179732,0.000166915184830748
4,28,187895,0.00014901939913249422
5,26,187811,0.0001384370457534436
6,29,201312,0.0001440549992052138
7,33,209212,0.00015773473796914134
8,26,208071,0.00012495734629044893
9,29,214227,0.00013537042482973668
10,33,211398,0.00015610365282547612
11,36,213301,0.00016877558004885115
12,41,221939,0.0001847354453250668
13,43,228293,0.000188354439251313
14,69,234600,0.0002941176470588235
15,121,250685,0.00048267746374932685
16,191,266229,0.0007174274778480181
17,255,283979,0.0008979537219301427
18,332,301430,0.0011014165809640714
19,426,300736,0.0014165247925090445
20,447,316962,0.0014102636909156302
21,465,330298,0.0014078196053260994
22,482,371048,0.0012990233069575905
23,470,354982,0.001324010794913545
24,467,352510,0.0013247851124790786
25,492,361841,0.0013597132442150005
26,487,360995,0.001349049155805482
27,478,364724,0.0013105800550553294
28,444,357695,0.00124128097960553
29,445,337039,0.0013203219805423111
30,513,365186,0.0014047635999189453
31,564,322420,0.001749271137026239
32,588,350111,0.0016794673689201425
33,620,355373,0.0017446457665607686
34,611,354854,0.0017218348954781402
35,660,373883,0.0017652581155067227
36,720,374232,0.0019239402295902007
37,790,359986,0.002194529787269505
38,885,367997,0.0024049109095998066
39,879,374589,0.002346571842739643
40,945,419879,0.0022506484010869797
41,1015,357637,0.002838073241862559
42,1056,390732,0.0027026196984122107
43,1090,351842,0.0030979814803235545
44,1155,331069,0.003488698730476124
45,1210,343110,0.003526565824371193
46,1206,316209,0.003813933189757407
47,1255,307563,0.004080464815338646
48,1344,300241,0.00447640395548909
49,1403,291824,0.004807692307692308
50,1548,314557,0.00492120664935131
51,1637,271512,0.006029199446064999
52,1708,289554,0.005898727007742943
53,1760,269521,0.006530103405671543
54,1895,258657,0.0073263047201506245
55,1929,258170,0.007471820893209901
56,2078,253023,0.008212692126802701
57,2204,240158,0.009177291616352569
58,2168,246512,0.008794703706107614
59,2296,227767,0.010080476978666795
60,2552,237836,0.010730082914277066
61,2538,199483,0.012722888667204724
62,2803,215965,0.012978954923251454
63,2787,195013,0.014291354935312004
64,2821,190009,0.014846665157966201
65,2770,188404,0.014702447931041803
66,2858,166083,0.017208263338210412
67,2857,157577,0.018130818583930397
68,2972,151231,0.01965205546481872
69,2831,131723,0.021492070481237142
70,2985,142329,0.02097253546360896
71,2761,114145,0.024188532130185292
72,2893,119624,0.02418411021199759
73,2831,99444,0.028468283657133664
74,2852,95529,0.02985480848747501
75,2681,87711,0.030566291571182635
76,2808,77409,0.03627485176142309
77,2748,68641,0.040034381783482176
78,2544,67500,0.03768888888888889
79,2612,56239,0.04644463806255446
80,2791,57260,0.04874257771568285
81,2539,44354,0.0572439915227488
82,2467,49860,0.04947853991175291
83,2381,39052,0.06096998873297142
84,2364,34633,0.0682585972916005
85,2105,29742,0.07077533454374285
86,1994,28868,0.06907302203131495
87,1813,23122,0.07841017213043855
88,1817,18166,0.1000220191566663
89,1639,16249,0.10086774570742815
90,1552,15584,0.09958932238193019
91,1275,10859,0.11741412653098812
92,1167,10682,0.1092492042688635
93,1016,7400,0.1372972972972973
94,843,6057,0.13917781079742447
95,722,4858,0.14862083161794978
96,562,3954,0.14213454729387962
97,488,3038,0.16063199473337722
98,347,2348,0.14778534923339012
99,303,1792,0.16908482142857142
100,233,5426,0.04294139329155916
